idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
101,Open wound of the neck,"['Skin lesion', 'Ache all over', 'Abnormal appearing skin', 'Peripheral edema', 'Foot or toe swelling', 'Skin swelling', 'Sweating', 'Skin on leg or foot looks infected', 'Delusions or hallucinations', 'Increased heart rate', 'Skin on arm or hand looks infected']"," collagenase topical, ","['Wound care management', 'Complete physical skin exam performed (ML)', 'Debridement of wound; infection or burn', 'Excision (Removal)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Traction; splints; and other wound care', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Mupirocin Topical', 'Collagenase Topical', 'Silver Nitrate Topical Each', 'Vancomycin', 'Linezolid (Zyvox)', 'Silver Sulfadiazine Topical', 'Cellulose', 'Zinc Sulfate', 'Sitagliptin (Januvia)', 'Lactulose', 'Probucol', 'Aloe Vera Topical']",medication
102,Achalasia,"['Sharp chest pain', 'Difficulty in swallowing', 'Back pain', 'Cough', 'Regurgitation', 'Hurts to breath', 'Throat feels tight', 'Rib pain', 'Lump in throat', 'Cramps and spasms', 'Hoarse voice', 'Chest tightness']","Achalasia /e\xc9\xaak\xc9\x99\xcb\x88le\xc9\xaazi\xc9\x99/, also known as esophageal achalasia, achalasia cardiae, cardiospasm, and esophageal aperistalsis, is an esophageal motility disorder involving the smooth muscle layer of the esophagus and the lower esophageal sphincter (LES). It is characterized by incomplete LES relaxation, increased LES tone, and lack of peristalsis of the esophagus (inability of smooth muscle to move food down the esophagus) in the absence of other explanations like cancer or fibrosis. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Famotidine', 'Midazolam (Versed)', 'Dicyclomine', 'Calcium Carbonate', 'Barium Sulfate', 'Tolterodine (Detrol)', 'Niacin', 'Glycerin Topical', 'Teriparatide (Forteo)']",symptom
103,Conductive hearing loss,"['Diminished hearing', 'Ear pain', 'Plugged feeling in ear', 'Redness in ear', 'Ringing in ear', 'Dizziness', 'Fluid in ear', 'Difficulty speaking', 'Lack of growth', 'Hoarse voice', 'Swollen or red tonsils', 'Low self-esteem']","Conductive hearing loss occurs when there is a problem conducting sound waves anywhere along the route through the outer ear, tympanic membrane (eardrum), or middle ear (ossicles). This type of hearing loss may occur in conjunction with sensorineural hearing loss or alone. ","['Ophthalmologic and otologic diagnosis and treatment', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Magnetic resonance imaging (Mri)', 'Excision (Removal)', 'Other therapeutic ear procedures', 'Occupational therapy assessment (Speech therapy)', 'Other therapeutic procedures']","['Carbamide Peroxide Otic', 'Ofloxacin', 'Boric Acid Topical', 'Olopatadine Nasal', 'Methylcellulose (Citrucel)', 'Oxazepam', 'Mitotane', 'Horse Chestnut Preparation (Venastat)', 'Aluminum Sulfate-Calcium Acetate Topical', 'Valdecoxib (Bextra)', 'Triethanolamine Polypeptide Oleate Otic']",disease
104,Abdominal hernia,"['Sharp abdominal pain', 'Groin mass', 'Ache all over', 'Upper abdominal pain', 'Groin pain', 'Lower abdominal pain', 'Irregular belly button', 'Swollen abdomen', 'Regurgitation', 'Infant spitting up', 'Swelling of scrotum', 'Symptoms of the scrotum and testes']","A hernia is the protrusion of an organ or the fascia of an organ through the wall of the cavity that normally contains it. There are different kinds of hernia, each requiring a specific management or treatment. ","['Complete physical skin exam performed (ML)', 'X-ray computed tomography (Scan ct)', 'Wound care management', 'Other hernia repair', 'Pelvis exam', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel']","['Neostigmine', 'Desflurane', 'Rocuronium', 'Arnica Topical', 'Ephedrine (Kie)', 'Methylene Blue', 'Lyme Disease Vaccine', 'Aminosalicylic Acid', 'Acetohydroxamic Acid', 'Fluoride Topical', 'Triprolidine (Actifed)']",disease
105,Cerebral palsy,"['Seizures', 'Problems with movement', 'Cramps and spasms', 'Difficulty eating', 'Lack of growth', 'Leg cramps or spasms', 'Back cramps or spasms', 'Blindness', 'Infant feeding problem', 'Swollen tongue', 'Lip sore', 'Tongue lesions']","Cerebral palsy (CP) is an umbrella term denoting a group of non-progressive, non-contagious motor conditions that cause physical disability in human development, chiefly in the various areas of body movement. Scientific consensus still holds that CP is neither genetic nor a \'disease\', and it is also understood that the vast majority of cases are congenital, coming at or about the time of birth, and/or are diagnosed at a very young age rather than during adolescence or adulthood. ","['Physical therapy exercises (Exercises)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Occupational therapy assessment (Speech therapy)', 'Injections and aspirations of muscles; tendons; bursa; joints and soft tissue', 'Other therapeutic procedures', 'Magnetic resonance imaging (Mri)', 'Electroencephalogram (EEG) (Eeg)']","['Baclofen', 'Levetiracetam (Keppra)', 'Botulinum Toxin Type A (Botox)', 'Topiramate (Topamax)', 'Carbamazepine', 'Phenobarbital', 'Polyethylene Glycol 3350 (Miralax)', 'Glycopyrrolate', 'Oxcarbazepine (Trileptal)', 'Budesonide', 'Zonisamide', 'Tizanidine']",disease
106,Marijuana abuse,"['Drug abuse', 'Abusing alcohol', 'Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Delusions or hallucinations', 'Excessive anger', 'Temper problems', 'Fears and phobias', 'Low self-esteem', 'Difficulty speaking']",Cannabis dependence is a condition defined in DSM-IV applying the general concept of substance dependence to cannabis. ,"['Mental health counseling', 'Psychotherapy', 'Urinalysis', 'Psychological and psychiatric evaluation and therapy', 'Toxicology screen', 'Blood alcohol', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Mirtazapine', 'Fluphenazine (Prolixin)', 'Levocarnitine', 'Naltrexone', 'Acamprosate (Campral)', 'Tiagabine (Gabitril)', 'Asenapine (Saphris)', 'Reserpine (Hhr)', 'Amphetamine (Adderall)', 'Pentazocine (Talwin)']",disease
107,Cryptococcosis,"['Lip swelling', 'Fainting', 'Seizures', 'Depressive or psychotic symptoms', 'Shoulder swelling', 'Nailbiting', 'Eye strain', 'Cross-eyed', 'Vulvar sore', 'Hip stiffness or tightness', 'Itchy eyelid', 'Wrist weakness']","Cryptococcosis, or cryptococcal disease, is a potentially fatal fungal disease. It is caused by one of two species; Cryptococcus neoformans and Cryptococcus gattii. These were all previously thought to be subspecies of C. neoformans, but have now been identified as distinct species. ","['Glucose measurement (Glucose level)', 'Hematologic tests (Blood test)', 'Ophthalmic examination and evaluation (Eye exam)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Lipid panel', 'Corneal transplant']","['Amphotericin B', 'Ocular Lubricant', 'Dapsone', 'Sodium Bicarbonate', 'Influenza Virus Vaccine, H1N1, Inactivated', 'Fluconazole (Diflucan)', 'Phenytoin (Dilantin)', 'Ranitidine', 'Amlodipine', 'Air', 'Mecamylamine']",disease
108,Obesity,"['Weight gain', 'Abnormal breathing sounds', 'Sleepiness', 'Apnea', 'Excessive appetite']","Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health, leading to reduced life expectancy and/or increased health problems. People are considered obese when their body mass index (BMI), a measurement obtained by dividing a person\'s weight in kilograms by the square of the person\'s height in metres, exceeds 30 kg/m2. ","['Hematologic tests (Blood test)', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Complete physical skin exam performed (ML)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Pelvis exam', 'Examination of breast']","['Phentermine', 'Ursodiol (Urso)', 'Phendimetrazine', 'Orlistat (Alli)', 'Sibutramine (Meridia)', 'Diethylpropion (Tenuate)', 'Panitumumab', 'Milrinone', 'Valerian Root Extract', 'Inulin', 'Trientine']",disease
109,Indigestion,"['Sharp abdominal pain', 'Burning abdominal pain', 'Nausea', 'Upper abdominal pain', 'Heartburn', 'Vomiting', 'Sharp chest pain', 'Diarrhea', 'Constipation', 'Regurgitation', 'Stomach bloating', 'Decreased appetite']","Dyspepsia (from the Greek \xce\xb4\xcf\x85\xcf\x83- dys- and \xcf\x80\xce\xad\xcf\x88\xce\xb9\xcf\x82 pepsis ""digestion""), also known as indigestion, is a condition of impaired digestion. It is a medical condition characterized by chronic or recurrent pain in the upper abdomen, upper abdominal fullness and feeling full earlier than expected when eating. It can be accompanied by bloating, belching, nausea, or heartburn. Dyspepsia is a common problem and is frequently caused by gastroesophageal reflux disease (GERD) or gastritis. In a small minority it may be the first symptom of peptic ulcer disease (an ulcer of the stomach or duodenum) and occasionally cancer. Hence, unexplained newly onset dyspepsia in people over 55 or the presence of other alarming symptoms may require further investigations. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Electrocardiogram']","['Esomeprazole (Nexium)', 'Sucralfate (Carafate)', 'Hyoscyamine (A-Spas)', 'Simethicone (Degas)', 'Bismuth Subsalicylate (Pepto-Bismol)']",symptom
110,Bursitis,"['Shoulder pain', 'Knee pain', 'Elbow pain', 'Arm pain', 'Elbow swelling', 'Leg pain', 'Hip pain', 'Knee swelling', 'Shoulder stiffness or tightness', 'Leg swelling', 'Arm stiffness or tightness', 'Arm swelling']","Bursitis is the inflammation of one or more bursae (small sacs) of synovial fluid in the body. The bursae rest at the points where internal functionaries, such as muscles and tendons, slide across bone. Healthy bursae create a smooth, almost frictionless functional gliding surface making normal movement painless. When bursitis occurs, however, movement relying upon the inflamed bursa becomes difficult and painful. Moreover, movement of tendons and muscles over the inflamed bursa aggravates its inflammation, perpetuating the problem. Muscle can also be stiffened. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Triamcinolone Topical Product', 'Bupivacaine', 'Cortisone', 'Dicloxacillin', 'Salmeterol', 'Trolamine Salicylate Topical', 'Capsaicin Topical', 'Chlorzoxazone', 'Oxaprozin', 'Clidinium (Librax)']",symptom
111,Esophageal cancer,"['Fatigue', 'Ache all over', 'Weakness', 'Sharp abdominal pain', 'Vomiting', 'Shortness of breath', 'Difficulty in swallowing', 'Decreased appetite', 'Hoarse voice', 'Mouth pain', 'Changes in stool appearance', 'Stomach bloating']","Esophageal cancer (or oesophageal cancer) is malignancy of the esophagus. There are various subtypes, primarily squamous cell cancer (approx 90\xe2\x80\x9395% of all esophageal cancer worldwide) and adenocarcinoma (approx. 50\xe2\x80\x9380% of all esophageal cancer in the United States). Squamous cell cancer arises from the cells that line the upper part of the esophagus. Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Glucose measurement (Glucose level)', 'X-ray computed tomography (Scan ct)', 'Electrolytes panel', 'Complete physical skin exam performed (ML)']","['Metoclopramide', 'Cisplatin', 'Prochlorperazine (Compro)', 'Dexamethasone Topical Product', 'Fluorouracil', 'Aprepitant (Emend)', 'Dexamethasone', 'Heparin', 'Paclitaxel (Taxol)', 'Sucralfate (Carafate)', 'Sennosides, Usp (Perdiem)', 'Mirtazapine']",disease
112,Pulmonary congestion,"['Shortness of breath', 'Sharp chest pain', 'Cough', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Chest tightness', 'Congestion in chest', 'Weakness', 'Fluid retention', 'Leg swelling', 'Decreased heart rate']","Pulmonary edema (American English), or oedema (British English; both words from the Greek \xce\xbf\xe1\xbc\xb4\xce\xb4\xce\xb7\xce\xbc\xce\xb1), is fluid accumulation in the air spaces and parenchyma of the lungs. It leads to impaired gas exchange and may cause respiratory failure. It is due to either failure of the left ventricle of the heart to adequately remove blood from the pulmonary circulation (""cardiogenic pulmonary edema""), or an injury to the lung parenchyma or vasculature of the lung (""noncardiogenic pulmonary edema""). Treatment is focused on three aspects: firstly improving respiratory function, secondly, treating the underlying cause, and thirdly avoiding further damage to the lung. Pulmonary edema, especially in the acute setting, can lead to respiratory failure, cardiac arrest due to hypoxia, and death. ","['Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Plain x-ray (X ray)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Furosemide', 'Nitroglycerin', 'Ipratropium', 'Hydralazine', 'Labetalol', 'Oxygen', 'Naloxone (Suboxone)', 'Sodium Polystyrene Sulfonate (Kayexalate)', 'Bortezomib (Velcade)', 'Metolazone', 'Creatine']",disease
113,Juvenile rheumatoid arthritis,"['Knee pain', 'Joint pain', 'Back pain', 'Ankle pain', 'Hand or finger pain', 'Hand or finger swelling', 'Problems with movement', 'Bones are painful', 'Wrist swelling', 'Ankle swelling', 'Pelvic pain', 'Knee swelling']","Juvenile idiopathic arthritis (JIA), also known as juvenile rheumatoid arthritis (JRA), is the most common form of arthritis in children and adolescents. (Juvenile in this context refers to an onset before age 16, idiopathic refers to a condition with no defined cause, and arthritis is the inflammation of the synovium of a joint.) ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Physical therapy exercises (Exercises)', 'Occupational therapy assessment (Speech therapy)', 'Referral to home health care service']","['Methotrexate', 'Naproxen', 'Folic Acid', 'Etanercept (Enbrel)', 'Celecoxib (Celebrex)', 'Adalimumab (Humira)', 'Hydroxychloroquine (Plaquenil)', 'Anakinra (Kineret)', 'Infliximab (Remicade)', 'Prednisolone Ophthalmic', 'Diclofenac', 'Leflunomide (Arava)']",disease
114,Actinic keratosis,"['Abnormal appearing skin', 'Skin lesion', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin rash', 'Irregular appearing scalp', 'Skin moles', 'Skin swelling', 'Itching of skin', 'Skin irritation', 'Warts', 'Symptoms of the face']","Actinic keratosis (also called ""solar keratosis"" and ""senile keratosis"") is a premalignant condition of thick, scaly, or crusty patches of skin.:719 It is more common in fair-skinned people and it is associated with those who are frequently exposed to the sun, as it is usually accompanied by solar damage. They are considered as potentially pre-cancerous, since some of them progress to squamous cell carcinoma, so treatment is recommended. Untreated lesions have up to 20 % risk of progression to squamous cell carcinoma. ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Excision of skin lesion', 'Biopsy', 'Wound care management', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Other therapeutic procedures']","['Fluorouracil', 'Fluorouracil Topical', 'Imiquimod Topical', 'Tretinoin Topical', 'Metronidazole Topical Product', 'Ketoconazole', 'Clobetasol Topical', 'Fluocinonide Topical', 'Desoximetasone Topical', 'Desonide Topical', 'Aminolevulinic Acid Topical']",disease
